time,10Y2Y_Yield,US CLI,ISM New Orders,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,SP500
2/1/92,2.178162314,-0.560855624,1.109943252,1.703032574,-2.350489918,0.476692664,0.005366996,0.151251286
3/1/92,2.112817445,-0.43608183,1.778583766,0.930640823,-1.808069168,0.812143057,0.056755958,-0.154672183
4/1/92,2.341524488,-0.323026307,1.216925734,0.746943889,-1.717665709,0.45903738,0.108347545,0.032457664
5/1/92,2.330633676,-0.251390083,1.457636319,0.325195156,-1.566993279,1.00635118,0.11979389,-0.220432522
6/1/92,2.515777473,-0.230090835,1.310535406,0.478310903,-1.47658982,0.635590219,0.080500667,-0.004606639
7/1/92,2.504886661,-0.238271515,1.270416975,0.591084423,-1.762867439,0.68855607,-0.076843923,-0.040909494
8/1/92,2.690030458,-0.246009996,1.176807304,0.688024126,-1.800535546,0.600279651,0.190561446,-0.336824953
9/1/92,2.798938574,-0.221615356,0.147100913,0.712645332,-1.838203654,-0.052965852,0.087399154,-0.146351498
10/1/92,2.613794777,-0.147473338,0.50816679,0.705423338,-2.011476949,0.052965852,0.379516155,-0.211937454
11/1/92,2.352415299,-0.039945302,1.176807304,0.675171444,-1.107442365,0.635590219,0.412397015,0.310952047
12/1/92,2.330633676,0.056527761,1.471009129,0.537386587,-0.678025938,0.741521922,0.523946409,-0.351951201
1/1/93,2.385087734,0.103621946,1.738465335,0.460350546,-0.806097504,1.024006464,0.414995327,-0.170542982
2/1/93,2.297961241,0.091314076,1.297162596,0.008652662,-1.009505285,0.918074761,0.422575737,-0.16437273
3/1/93,2.254397995,0.02432094,1.083197632,-0.119138041,-1.062240636,0.617934935,0.275146632,0.116794465
4/1/93,2.417760169,-0.074363118,0.401184308,0.235198073,-1.084841501,0.035310568,0.205509095,-0.249726879
5/1/93,2.091035822,-0.189187436,0.695386134,0.262922937,-1.484123442,0.211863406,0.251191254,-0.103801632
6/1/93,1.927673648,-0.285660499,0.213964964,0.342414572,-1.393719984,-0.070621135,0.210743865,0.022098067
7/1/93,1.851437967,-0.33806107,0.50816679,0.386986141,-1.732732953,0.035310568,0.047464592,-0.277925425
8/1/93,1.709857417,-0.327743096,0.708758944,0.714870868,-1.710132088,0.123586987,0.124738749,0.12169243
9/1/93,1.644512547,-0.250137186,0.347693067,0.609733058,-1.664930359,0.141242271,0.087228981,-0.012119042
10/1/93,1.568276866,-0.112687023,1.190180114,0.67887472,-1.303316525,0.600279651,-0.059649263,0.107567362
11/1/93,1.753420663,0.061981548,1.390772268,1.059889191,-1.416320848,0.670900787,0.040404438,-0.188189149
12/1/93,1.720748228,0.255369873,1.658228473,1.201550155,-0.888967341,0.988695896,0.190094448,-0.188300505
1/1/94,1.720748228,0.436671428,1.805329386,0.897237685,-0.429416427,1.059317031,-0.162137234,-0.017378531
2/1/94,1.611840113,0.584734365,1.631482853,0.52257406,-0.512286264,1.147593451,-0.01819779,-0.295446608
3/1/94,1.698966605,0.694989294,1.711719714,1.342784998,-0.64035783,1.218214586,0.084428042,-0.716580451
4/1/94,1.448477939,0.764783023,1.698346904,1.293384881,-0.557487993,1.306491005,-0.001494702,-0.48010787
5/1/94,1.263334142,0.795958047,1.551245991,1.26624551,-0.54242075,1.447733276,-0.119694881,-0.545543529
6/1/94,1.252443331,0.792936354,2.00592154,0.995982664,-0.662958695,1.553664979,0.04805874,-0.721696555
7/1/94,1.230661708,0.766551819,1.898939058,0.679926777,-0.828698369,1.500699128,0.002054345,-0.491290339
8/1/94,1.11086278,0.727785714,1.738465335,0.592538521,-0.625290587,1.412422709,0.070302016,-0.47123925
9/1/94,1.089081157,0.677596137,1.698346904,0.638076767,-0.64035783,1.588975547,0.117856054,-0.581906514
10/1/94,1.056408722,0.610381902,1.738465335,0.423758579,-0.549954372,1.659596683,0.067401728,-0.572905151
11/1/94,0.55543139,0.50919205,1.537873181,-0.062111703,-0.632824209,1.624286115,0.114456294,-0.744724205
12/1/94,0.163362174,0.365624803,1.190180114,-0.220580698,-0.369147455,1.076972315,0.159785519,-0.705430539
1/1/95,0.370287593,0.175995168,1.297162596,-0.385223986,-0.180806917,1.306491005,0.042051871,-0.780690568
2/1/95,0.468304898,-0.058149157,0.882605478,-0.05860491,-0.369147455,0.900419477,-0.004960422,-0.360123065
3/1/95,0.435632463,-0.31388753,0.254083395,-0.428558229,-0.730761289,0.370760961,-0.024393412,0.144706856
4/1/95,0.511868144,-0.552011645,0.294201826,-0.473714601,-0.565021615,0.264829258,-0.142595746,0.259785516
5/1/95,0.446523274,-0.740093584,-0.802368616,-0.443944787,-0.768429396,-0.582624367,-0.281559489,0.429939098
6/1/95,0.457414086,-0.865456976,-0.869232667,-0.18998874,-0.549954372,-0.723866638,-0.223804753,0.794639777
7/1/95,0.62077626,-0.937830198,0.361065877,0.070562945,-0.421882806,0.123586987,-0.281751927,0.796957658
8/1/95,0.468304898,-0.982713388,-0.468048359,0.032405068,-0.286277618,-0.512003232,-0.093588654,0.513513636
9/1/95,0.370287593,-1.021332094,-0.080236862,0.031601826,-0.83623199,-0.335450393,-0.134552088,1.027379659
10/1/95,0.457414086,-1.053833714,-0.334320257,0.010647048,-0.73829491,-0.582624367,-0.174160361,0.825652513
11/1/95,0.435632463,-1.069310676,-0.187219344,0.332998346,-0.888967341,-0.723866638,-0.18445857,1.477798652
12/1/95,0.435632463,-1.057002806,-0.548285221,0.163371682,-0.678025938,-0.670900787,-0.033682644,1.485732292
1/1/96,0.729684375,-1.007771327,-0.788995806,0.406074426,-0.806097504,-0.794487774,-0.098332085,1.589602968
2/1/96,0.751465998,-0.916088752,-0.5215396,0.65631891,-0.866366476,-0.723866638,-0.097095324,1.349410671
3/1/96,0.598994636,-0.791093859,-0.120355292,0.8532894,-0.474618157,-0.5473138,-0.175451655,1.192576591
4/1/96,0.686121129,-0.659097483,0.307574636,0.803357408,-0.549954372,-0.123586987,0.093093175,1.077487491
5/1/96,0.631667071,-0.535502886,0.227337775,0.725557372,-0.798563882,-0.158897555,0.199325055,0.973232242
6/1/96,0.675230317,-0.435271132,1.257044165,0.471102641,-0.572555236,0.635590219,0.198634389,0.825651421
7/1/96,0.631667071,-0.365330003,0.254083395,0.351525581,-0.399281941,-0.052965852,0.222005336,0.241391291
8/1/96,0.675230317,-0.309981439,0.615149272,0.096583936,-0.354080212,0.282484542,0.238857916,0.37904332
9/1/96,0.675230317,-0.257507168,0.615149272,-0.101183171,-0.399281941,0.194208122,0.143368158,0.478443925
10/1/96,0.653448694,-0.204074799,0.387811498,-0.148739261,-0.263676754,0.088276419,0.153473895,0.710488427
11/1/96,0.511868144,-0.143346148,0.922723908,-0.062408082,-0.060268972,0.529658516,0.143270535,0.948375701
12/1/96,0.598994636,-0.078121808,1.564618801,-0.106586156,-0.233542268,0.918074761,-0.007845572,0.646001655
1/1/97,0.642557883,-0.001695096,0.936096719,-0.017873019,-0.19587416,0.670900787,0.094380186,0.857127809
2/1/97,0.511868144,0.091977374,1.01633358,0.087288299,-0.022600865,0.5473138,0.216885451,0.849326061
